,GSM215347,GSM215348,GSM215349,GSM215350,GSM215351,GSM215352,GSM215353,GSM215354,GSM215355,GSM215356,GSM215357,GSM215358
206346_at,76.3,57.2,55.7,67.3,72.8,55.6,69.7,91.7,73.0,96.6,42.4,61.6
206347_at,60.9,56.1,41.0,50.1,50.5,54.5,34.5,54.8,42.2,61.1,46.0,35.4
206348_s_at,63.8,134.4,200.0,88.5,118.4,108.4,85.3,93.2,68.3,135.4,87.1,137.6
206349_at,2.4,1.2,1.3,0.5,1.6,0.9,2.9,0.7,1.4,0.6,0.6,1.3
206350_at,34.2,23.2,14.9,40.7,34.2,24.0,20.6,52.0,31.4,12.0,18.8,29.7
206351_s_at,7.0,66.6,56.8,43.1,42.4,33.4,32.3,40.4,25.3,44.9,39.5,53.5
206352_s_at,155.0,128.1,126.5,105.8,160.3,93.8,95.7,94.0,105.5,82.0,143.2,134.7
206353_at,6.6,44.0,87.3,46.6,37.5,37.8,23.3,49.1,42.2,49.7,24.7,49.1
206354_at,23.3,25.4,4.9,11.4,28.4,30.8,7.0,15.1,11.9,7.6,16.2,9.4
206355_at,31.4,4.9,7.3,11.8,16.0,7.0,17.7,8.4,6.7,46.8,4.1,15.1
206356_s_at,1.9,2.0,1.0,26.6,4.0,13.1,4.8,1.1,4.5,15.3,27.6,21.4
206357_at,73.6,37.9,52.8,61.8,52.0,66.5,36.6,58.5,59.5,92.3,55.1,41.3
206358_at,5.2,12.7,10.2,37.3,10.4,4.3,54.6,20.1,39.2,35.5,11.3,11.6
206359_at,51.0,79.5,92.0,59.9,92.6,62.8,45.1,57.8,113.6,63.2,104.4,84.6
206360_s_at,39.0,84.9,43.2,74.8,68.4,55.0,56.9,56.4,64.5,68.5,72.4,94.8
206361_at,105.5,73.1,127.3,41.7,63.9,41.6,42.2,32.7,73.0,68.2,91.5,84.3
206362_x_at,8.3,10.5,7.3,6.8,13.5,6.8,4.2,5.9,5.9,6.4,4.8,6.2
206363_at,63.9,67.5,59.3,114.5,119.1,152.0,138.0,145.4,135.7,56.1,86.5,77.3
206364_at,491.2,495.0,531.5,558.0,649.2,634.2,538.1,626.9,519.6,498.4,546.9,539.0
206365_at,17.4,2.9,33.8,3.9,3.3,23.6,17.4,19.2,2.7,5.7,10.6,18.9
206366_x_at,5.8,1.9,14.3,2.0,5.6,21.6,4.8,10.4,43.4,1.5,5.3,2.0
206367_at,4.9,3.5,5.2,10.4,2.1,4.1,4.8,5.9,6.6,5.1,2.2,4.0
206368_at,1.7,9.7,44.7,27.6,29.2,21.4,26.1,18.3,9.4,19.6,23.2,7.4
206369_s_at,79.5,92.7,134.5,66.8,43.8,60.6,46.2,53.5,81.1,105.1,96.4,112.2
206370_at,94.6,79.0,81.8,39.2,47.3,45.6,66.8,57.8,54.4,102.1,77.9,70.2
206371_at,1.8,17.3,38.1,21.2,2.9,9.8,31.7,17.1,20.7,11.2,35.6,3.6
206372_at,7.5,22.6,5.8,73.1,13.3,10.1,4.1,23.5,38.8,12.5,18.0,29.8
206373_at,1.9,2.4,5.9,1.8,6.0,16.4,1.2,1.1,11.7,2.1,5.0,1.1
206374_at,93.0,92.8,120.6,72.8,84.4,81.7,92.9,118.9,74.3,78.2,103.6,122.2
206375_s_at,14.9,5.0,5.8,5.3,2.2,4.0,16.9,23.6,5.7,8.5,7.0,4.3
206376_at,2.3,3.3,1.4,1.6,1.9,12.0,2.0,0.8,15.7,1.9,1.2,0.6
206377_at,25.0,22.6,31.4,23.5,28.7,9.5,12.0,11.9,15.7,26.9,2.1,16.6
206378_at,22.2,16.5,25.5,2.7,1.8,5.9,27.3,9.5,24.3,1.0,29.8,18.9
206379_at,21.6,24.0,4.6,3.0,48.3,33.2,1.7,34.2,30.4,5.6,5.6,4.3
206380_s_at,4.2,17.9,1.5,0.9,4.6,4.0,2.8,12.0,3.3,5.7,3.2,1.0
206381_at,3.9,17.5,2.6,4.8,18.3,15.8,4.5,1.2,5.1,4.4,14.7,11.8
206382_s_at,1.0,2.3,2.0,1.0,1.8,1.5,1.4,1.4,1.0,1.6,0.8,1.8
206383_s_at,189.3,222.5,293.9,345.1,336.0,254.2,189.0,188.4,255.1,241.2,157.8,222.6
206384_at,446.2,857.5,1047.9,169.6,209.4,222.9,173.6,171.8,152.4,710.4,878.3,812.7
206385_s_at,442.9,403.6,362.5,306.0,365.4,333.4,316.5,414.6,361.2,355.5,308.5,335.3
206386_at,5.5,36.3,4.6,4.1,2.0,23.7,1.9,12.3,33.2,21.0,1.5,5.7
206387_at,6.1,2.7,1.6,4.6,1.6,2.2,1.3,5.7,6.1,5.4,2.0,2.7
206388_at,28.4,50.8,28.8,16.6,5.9,27.7,7.9,19.6,17.2,1.8,1.9,24.8
206389_s_at,1.6,2.1,10.1,5.1,1.7,2.3,12.9,18.4,4.3,3.0,6.1,3.6
206390_x_at,23.0,11.9,14.4,46.9,10.3,8.1,25.9,11.5,28.0,4.5,25.2,6.5
206391_at,2.3,26.3,5.4,1.1,2.2,3.7,1.9,4.9,1.7,3.1,15.6,2.0
206392_s_at,2.3,5.7,3.0,3.3,2.2,1.3,1.0,15.8,2.2,25.4,0.7,0.6
206393_at,2.2,3.6,2.1,2.9,1.7,1.7,2.6,1.7,2.5,2.4,1.6,1.7
206394_at,2.4,33.6,6.5,2.6,5.5,5.3,33.5,33.3,4.4,6.5,21.7,4.9
206395_at,33.9,11.7,36.4,93.2,113.9,84.3,64.3,59.4,89.9,79.4,79.2,47.2
206396_at,18.9,15.6,11.2,22.7,71.8,11.3,22.0,29.3,64.3,23.6,15.0,3.5
206397_x_at,4.4,14.4,11.8,30.1,46.2,38.4,8.6,30.5,20.3,4.8,1.5,22.6
206398_s_at,19.2,2.7,29.5,29.4,10.4,3.7,6.1,1.9,12.8,11.8,1.7,14.0
206399_x_at,4.6,6.0,6.4,3.6,4.1,2.9,4.0,5.4,6.6,4.3,18.5,5.7
206400_at,8.1,32.1,1.8,15.6,8.3,18.8,20.0,23.4,5.3,29.8,14.3,2.7
206401_s_at,122.9,83.4,108.3,92.6,91.6,139.2,114.2,101.9,87.3,77.9,99.2,78.1
206402_s_at,10.3,6.2,7.9,11.4,9.8,3.8,9.0,2.4,4.5,12.0,4.8,5.6
206403_at,32.3,37.6,17.2,11.8,5.8,31.9,29.3,12.3,20.0,36.4,30.3,28.3
206404_at,115.1,116.2,190.6,132.1,106.2,75.0,120.7,128.2,113.6,122.8,107.5,104.1
206405_x_at,127.7,122.8,130.2,124.8,110.4,78.5,95.6,87.2,126.7,120.4,106.4,164.9
206406_at,2.6,4.0,3.3,1.4,2.6,2.0,6.3,2.9,2.4,5.8,4.5,3.6
206407_s_at,12.1,5.0,5.1,4.5,3.2,6.5,37.1,5.0,8.6,3.9,17.3,5.3
206408_at,29.9,21.9,2.9,1.3,39.4,4.4,21.4,5.2,8.7,4.4,10.4,20.6
206409_at,10.1,10.8,13.5,1.9,5.0,14.9,6.1,8.0,22.9,37.0,1.9,7.1
206410_at,2.8,5.5,5.3,5.4,4.4,4.3,5.1,2.3,7.3,8.1,35.5,5.9
206411_s_at,2.6,51.8,40.8,36.3,19.6,14.2,16.4,8.5,35.9,34.1,19.0,36.9
206412_at,77.1,111.3,59.1,115.3,68.4,106.5,73.1,58.5,89.4,76.5,50.5,72.1
206413_s_at,38.4,19.6,22.2,9.7,15.4,5.7,45.7,4.8,8.2,10.4,3.6,44.6
206414_s_at,1.1,22.0,2.2,8.2,16.5,15.2,3.3,28.2,33.0,17.3,21.2,12.5
206415_at,3.4,3.0,12.2,3.5,2.7,5.2,8.9,16.2,2.2,9.0,0.6,1.7
206416_at,9.2,4.2,10.6,3.1,25.7,5.9,21.6,31.0,28.4,28.8,4.4,4.9
206417_at,13.2,26.9,17.2,26.0,40.7,15.7,4.7,4.4,5.2,37.7,27.0,22.3
206418_at,2.5,1.2,3.0,8.2,6.3,2.6,28.1,16.1,15.9,2.7,17.3,1.3
206419_at,25.3,7.4,35.7,6.0,30.0,4.1,8.9,25.1,13.5,50.8,11.7,26.2
206420_at,20.0,20.7,2.4,15.4,12.2,2.1,1.1,21.5,19.2,18.5,22.9,23.4
206421_s_at,5.0,5.9,4.2,3.2,2.1,8.2,1.7,2.0,1.9,4.5,8.3,10.0
206422_at,19.2,2.1,18.7,4.1,10.3,2.4,4.4,8.9,22.6,2.4,11.7,1.4
206423_at,3.3,6.3,3.4,5.6,3.6,12.5,18.5,16.3,1.6,3.4,14.3,2.6
206424_at,29.6,4.5,2.6,1.7,3.5,4.2,4.1,5.7,11.3,17.3,2.5,8.7
206425_s_at,41.5,31.3,47.3,33.7,48.4,24.9,14.4,19.9,21.4,28.8,19.9,22.8
206426_at,24.9,36.4,5.3,1.9,1.2,21.3,3.1,18.1,2.6,5.5,21.1,0.9
206427_s_at,5.5,13.2,11.8,5.1,9.7,22.8,10.5,2.0,3.9,3.3,3.2,18.9
206428_s_at,3.3,2.1,1.4,4.5,2.6,1.6,2.5,3.1,15.7,4.5,6.7,2.1
206429_at,2.8,3.8,31.4,1.4,3.2,13.1,21.7,14.2,25.3,2.5,13.0,1.1
206430_at,14.5,19.3,35.3,12.0,12.4,14.7,32.2,20.3,21.7,43.2,12.7,107.8
206431_x_at,202.2,351.7,311.2,281.0,218.7,248.6,253.0,271.8,260.9,320.0,301.2,240.1
206432_at,8.8,37.8,18.2,23.3,12.4,15.0,1.7,13.9,18.0,3.4,16.5,1.3
206433_s_at,11.4,2.3,16.4,5.0,10.9,0.9,1.6,17.8,17.0,2.6,2.4,12.4
206434_at,34.9,9.8,10.7,0.5,12.0,0.7,1.8,25.5,19.4,2.7,0.5,0.9
206435_at,77.1,110.8,54.2,100.2,112.1,93.2,111.3,90.2,92.1,96.1,82.4,70.5
206436_at,15.2,7.0,40.0,6.7,17.8,1.9,12.6,2.3,20.8,21.6,24.9,13.5
206437_at,93.1,183.5,168.0,134.3,79.7,104.7,117.0,68.5,108.4,108.6,149.2,74.5
206438_x_at,192.5,190.8,262.7,187.4,142.7,160.7,163.4,138.9,167.1,219.2,174.5,187.4
206439_at,4.2,2.1,3.1,12.6,1.1,1.6,1.7,0.9,13.5,1.5,19.7,13.6
206440_at,23.3,3.2,1.2,0.8,4.9,1.9,3.5,8.2,1.3,1.7,0.6,3.3
206441_s_at,329.1,624.3,447.7,508.6,432.2,399.1,345.1,353.9,444.4,457.6,582.8,479.7
206442_at,2.2,5.0,2.1,12.7,3.6,2.0,8.1,13.9,6.2,4.0,4.1,3.1
206443_at,48.4,53.3,37.0,5.4,8.6,25.1,33.5,47.8,35.2,5.7,65.5,20.0
206444_at,4.7,8.5,8.1,3.0,6.8,3.2,5.0,2.8,7.0,7.2,15.1,5.1
206445_s_at,2190.0,2691.0,2738.9,3018.5,3731.6,3007.8,2659.8,2778.6,3440.0,2588.8,2669.5,2284.9
206446_s_at,14.3,26.8,18.7,4.4,1.7,24.0,12.0,3.0,18.2,37.9,2.5,2.5
206447_at,4.1,4.1,3.8,2.2,15.1,2.2,10.7,3.8,1.4,5.3,4.3,23.8
206448_at,27.0,5.9,15.8,1.3,19.1,56.2,15.1,18.9,5.0,26.6,24.3,2.1
206449_s_at,14.8,14.3,16.1,11.7,10.2,11.6,33.5,9.3,15.0,11.7,10.8,11.9
206450_at,2.7,8.3,1.8,3.1,34.3,7.1,6.3,6.0,40.5,9.3,39.6,1.5
206451_at,191.7,141.4,201.0,282.6,230.3,204.0,268.3,229.0,320.7,239.8,250.2,261.2
206452_x_at,143.3,171.2,117.0,123.9,191.0,137.7,179.8,131.3,95.2,122.2,101.2,123.1
206453_s_at,102.9,93.7,8.0,67.1,14.2,35.4,46.6,23.3,40.9,35.3,44.6,46.1
206454_s_at,45.3,36.0,4.6,10.5,18.9,10.0,4.9,10.5,59.2,20.3,19.0,4.7
206455_s_at,23.7,30.1,66.3,16.8,38.8,11.0,19.6,31.2,42.9,16.1,5.6,28.5
206456_at,1.2,1.3,0.5,11.9,8.8,3.1,0.5,14.3,5.3,3.5,1.0,11.9
206457_s_at,11.4,38.7,2.5,6.3,42.8,1.8,5.6,11.4,14.7,8.4,7.2,13.3
206458_s_at,33.9,3.5,4.2,5.1,17.0,5.5,10.8,29.8,19.0,8.1,2.2,7.0
206459_s_at,17.6,32.2,47.2,25.1,3.1,33.9,4.1,19.1,32.5,18.6,16.6,14.2
206460_at,16.8,27.8,25.6,2.7,1.8,11.0,3.0,11.2,3.1,10.0,11.6,16.7
206461_x_at,1378.4,1751.9,1656.4,2118.5,2710.1,1562.5,1276.5,1440.8,2557.1,1718.4,1439.7,2311.6
206462_s_at,21.2,29.6,13.1,20.3,32.5,11.0,5.0,17.1,28.2,2.1,34.8,7.4
206463_s_at,48.2,95.5,80.7,100.8,93.4,83.0,75.5,50.9,82.9,75.7,68.2,85.5
206464_at,4.3,3.8,3.7,2.1,18.7,3.0,7.3,3.7,2.3,1.6,10.6,3.0
206465_at,3.9,19.7,4.1,1.6,2.6,1.0,1.3,4.3,11.8,20.0,8.8,31.9
206466_at,18.2,37.8,27.4,30.7,2.3,11.2,42.3,17.6,2.2,26.6,13.1,45.6
206467_x_at,96.0,73.8,75.6,67.2,27.8,59.9,35.3,40.2,39.1,72.9,48.7,43.5
206468_s_at,244.2,345.2,299.7,343.3,343.0,293.9,305.8,240.9,332.9,304.9,352.4,266.4
206469_x_at,186.1,167.5,209.1,184.1,211.5,201.3,109.9,172.3,208.7,240.8,222.9,146.1
206470_at,3.0,22.7,21.3,19.3,10.3,2.1,1.9,1.2,16.0,2.7,1.8,1.6
206471_s_at,23.5,8.2,14.9,7.2,11.5,5.9,0.6,10.0,2.6,16.0,16.7,28.8
206472_s_at,83.0,50.2,55.2,86.1,88.8,50.3,50.5,67.0,64.8,76.5,64.1,49.6
206473_at,92.4,154.0,138.1,112.8,111.2,85.8,65.7,88.5,102.8,79.3,76.1,75.7
206474_at,70.0,50.6,105.6,61.0,74.5,71.5,80.8,70.0,89.6,79.3,56.6,67.6
206475_x_at,1.4,2.7,2.3,16.9,1.3,1.6,1.9,23.3,2.2,2.8,0.9,1.0
206476_s_at,0.9,3.9,1.7,0.7,1.1,28.2,2.7,1.0,9.7,2.0,14.6,26.5
206477_s_at,85.9,52.5,76.4,88.0,39.4,52.9,80.7,40.8,14.1,47.5,66.2,61.3
206478_at,20.0,44.5,27.3,1.2,54.9,4.9,10.4,17.3,23.0,8.7,18.1,14.6
206479_at,13.8,18.0,20.3,1.6,1.7,1.6,2.3,5.2,10.7,0.8,1.3,1.3
206480_at,2.1,1.2,6.7,2.1,27.0,2.0,25.4,8.9,32.9,6.7,5.3,10.8
206481_s_at,23.4,26.6,17.7,19.5,5.1,34.6,27.6,17.9,16.0,15.2,40.7,37.2
206482_at,12.5,11.4,3.7,3.2,1.1,12.2,9.4,18.3,17.8,11.6,24.9,15.7
206483_at,18.3,5.6,15.8,50.4,43.3,24.7,28.0,20.4,32.9,14.2,21.8,15.0
206484_s_at,5.2,3.5,6.0,22.5,3.2,2.8,3.8,17.0,8.9,8.2,4.5,5.1
206485_at,9.5,19.5,122.0,56.0,70.0,13.2,47.1,49.7,6.7,30.5,17.2,46.5
206486_at,1.9,4.6,14.2,25.4,30.1,8.6,23.5,23.1,8.4,48.9,7.7,23.8
206487_at,27.1,29.2,53.6,63.9,34.8,44.0,36.4,52.9,6.3,53.5,25.2,32.4
206488_s_at,2.4,12.7,14.6,3.3,4.0,6.0,24.1,3.3,11.9,5.2,7.8,1.8
206489_s_at,13.3,9.0,13.5,0.9,3.1,7.1,3.9,2.1,3.2,9.5,12.2,6.4
206490_at,3.0,31.8,6.4,14.1,12.8,19.4,31.9,14.6,9.8,12.3,21.2,31.1
206491_s_at,211.2,314.5,260.8,211.1,285.8,250.5,213.4,219.8,250.8,204.5,268.7,279.2
206492_at,27.2,25.2,35.9,2.8,18.3,10.0,3.4,22.6,40.5,34.4,25.3,45.7
206493_at,11.2,26.5,6.7,67.5,26.7,38.2,17.8,8.5,25.3,2.9,16.1,13.6
206494_s_at,4.4,1.7,5.2,7.9,5.8,1.5,3.8,3.8,23.0,1.4,9.5,2.7
206495_s_at,151.9,141.1,81.4,99.5,156.5,126.4,104.0,126.5,141.1,151.5,136.1,128.6
206496_at,1.7,1.5,29.2,13.8,1.4,4.9,13.0,2.8,1.6,6.4,1.8,1.0
206497_at,80.4,62.5,60.7,93.1,63.3,59.6,53.4,76.8,54.7,54.7,73.0,46.9
206498_at,157.0,135.6,132.9,86.4,71.5,66.3,51.9,85.6,88.1,83.3,147.3,106.2
206499_s_at,255.9,295.4,298.1,397.6,318.4,320.0,341.1,330.0,363.4,230.2,294.6,262.9
206500_s_at,362.7,100.0,171.8,99.3,121.5,185.4,176.1,180.3,63.7,106.8,80.8,145.0
206501_x_at,16.7,20.7,47.3,54.9,7.7,19.9,8.4,13.5,8.4,65.5,26.8,5.5
206502_s_at,16.0,1.1,1.7,2.9,16.6,0.6,2.3,5.5,15.0,2.8,3.7,12.8
206503_x_at,43.4,99.6,52.6,64.1,15.7,48.0,45.7,50.0,21.3,112.5,114.1,27.4
206504_at,18.1,20.8,12.4,15.9,4.9,3.8,11.2,4.1,12.5,1.3,40.0,11.8
206505_at,5.8,1.1,6.3,1.1,1.7,0.8,2.1,1.0,1.0,3.0,9.2,17.2
206506_s_at,161.5,133.9,150.2,125.5,135.5,151.7,89.0,123.9,140.2,144.9,162.2,130.6
206507_at,47.2,16.9,28.5,32.7,19.8,20.2,26.8,14.3,7.7,23.2,23.6,44.2
206508_at,1833.2,2535.7,2981.0,3330.1,3254.5,2635.1,2182.6,2282.1,3466.4,3043.1,3029.9,3217.5
206509_at,24.1,5.6,24.4,44.2,37.2,65.5,22.7,6.7,14.4,69.6,32.5,4.0
206510_at,36.3,36.3,30.8,35.0,16.4,36.3,9.7,45.1,34.0,12.4,24.0,16.6
206511_s_at,40.9,66.9,43.3,16.8,19.6,11.3,14.6,9.2,34.9,44.5,21.8,20.5
206512_at,9.2,24.9,1.7,13.0,27.1,26.9,29.7,10.0,29.1,22.2,25.7,21.9
206513_at,176.6,135.0,234.6,765.6,789.9,965.8,858.6,858.1,742.2,549.6,449.6,496.4
206514_s_at,10.0,7.8,20.3,4.9,3.0,2.7,1.8,1.3,6.9,15.3,3.3,10.1
206515_at,42.5,24.7,31.5,6.1,13.2,9.3,19.7,1.6,28.9,13.7,10.0,19.4
206516_at,52.3,79.2,125.8,88.7,73.6,43.7,8.0,47.4,78.1,85.6,52.9,48.1
206517_at,3.9,10.9,2.8,3.5,6.1,3.2,3.3,9.2,1.2,10.4,1.1,2.1
206518_s_at,61.3,68.4,50.8,90.2,81.2,108.7,83.8,109.1,70.8,113.5,123.6,98.7
206519_x_at,9.9,0.9,14.4,0.7,1.3,8.3,5.7,2.2,0.7,2.9,0.6,1.1
206520_x_at,84.6,79.1,108.1,90.8,87.9,60.7,63.7,47.6,91.5,79.7,77.0,87.3
206521_s_at,47.7,29.2,69.2,24.8,8.4,36.7,9.1,33.7,29.1,73.7,19.5,39.4
206522_at,1.9,2.2,32.5,23.7,13.5,1.1,1.8,5.8,30.1,1.3,4.1,17.3
206523_at,1.9,10.3,2.4,5.6,8.7,5.2,2.1,24.6,19.0,5.1,1.3,3.2
206524_at,67.1,46.1,58.1,16.6,82.5,34.1,49.9,38.4,9.5,66.1,48.6,37.1
206525_at,27.0,26.2,1.1,10.7,23.5,11.9,5.2,9.7,24.1,27.5,2.5,13.5
206526_at,0.9,2.0,1.8,1.6,3.4,1.3,1.3,0.7,1.8,2.4,1.3,3.2
206527_at,27.6,31.6,69.0,67.6,33.1,97.7,55.7,85.0,43.9,56.1,81.9,41.2
206528_at,75.7,66.8,90.5,70.1,36.4,38.7,54.8,41.1,32.4,49.2,60.4,64.3
206529_x_at,19.6,26.9,41.8,12.8,12.3,15.4,6.6,19.4,10.2,19.9,14.3,19.6
206530_at,25.2,53.9,48.4,21.9,33.1,40.9,44.5,5.5,33.0,51.9,29.3,41.5
206531_at,2.2,46.6,8.4,7.4,17.5,6.0,6.9,5.8,8.1,5.5,7.2,6.7
206532_at,11.6,1.9,7.0,29.4,5.2,1.2,10.6,9.2,6.6,23.3,23.0,47.7
206533_at,94.5,93.7,101.0,124.7,170.1,138.8,124.2,103.2,165.8,103.1,92.9,72.2
206534_at,28.0,2.0,32.3,22.2,14.8,4.8,3.8,11.8,33.2,50.7,27.8,31.8
206535_at,0.9,2.1,1.0,9.4,3.9,2.5,1.6,0.8,8.1,10.1,1.7,1.3
206536_s_at,33.5,29.6,48.3,67.9,38.0,9.2,27.0,14.3,26.3,20.2,33.2,36.6
206537_at,34.6,34.9,40.0,31.1,36.4,77.0,11.6,26.8,43.6,23.4,40.3,54.4
206538_at,2.4,2.0,14.7,8.6,2.8,14.5,3.2,10.8,3.7,3.1,6.0,1.6
206539_s_at,39.3,6.8,11.8,64.8,13.3,5.9,25.2,18.5,41.9,8.2,4.6,14.1
206540_at,52.2,103.7,51.2,48.4,35.7,47.5,46.7,56.5,40.7,56.5,67.5,48.0
206541_at,5.5,3.1,3.3,5.6,4.0,1.9,2.0,3.4,3.8,2.1,1.8,19.6
206542_s_at,1488.4,1319.8,1342.2,984.5,794.9,933.3,945.1,941.2,1001.8,1198.7,1423.1,1259.8
206543_at,21.8,26.6,21.2,17.8,27.4,17.5,31.1,38.5,13.7,45.2,14.5,26.5
206544_x_at,440.0,654.5,647.6,418.6,422.4,320.9,396.1,343.1,394.3,431.3,554.1,540.9
206545_at,5.9,12.6,10.4,26.8,2.0,6.5,20.1,24.1,5.0,3.4,2.9,10.4
206546_at,535.6,273.4,564.4,209.3,353.9,298.6,293.8,280.4,224.3,367.3,532.6,326.3
206547_s_at,2.8,2.6,5.8,6.5,4.6,1.0,2.4,1.8,27.4,17.5,5.5,12.4
206548_at,2.1,9.5,12.1,20.1,15.5,3.4,3.2,0.5,3.4,3.3,1.0,0.8
206549_at,10.0,43.9,5.4,34.2,28.2,2.0,4.4,23.1,21.6,35.2,3.0,4.6
206550_s_at,235.8,222.6,223.5,278.0,240.3,285.4,277.0,250.1,246.4,245.3,203.5,239.7
206551_x_at,965.9,620.7,791.7,482.9,388.1,528.7,712.3,637.1,484.4,740.4,582.1,846.7
206552_s_at,16.5,12.3,21.2,0.5,7.3,10.5,0.3,0.9,12.2,14.5,8.8,9.0
206553_at,17.9,2.3,40.9,23.9,7.6,6.8,28.3,26.3,28.4,33.2,6.5,25.5
206554_x_at,287.2,245.5,240.2,215.2,269.4,242.2,207.3,234.8,285.6,236.8,218.1,250.5
206555_s_at,1130.0,599.9,633.0,634.3,652.2,866.4,923.5,907.5,836.8,948.3,731.4,843.0
206556_at,19.9,2.7,19.4,12.2,1.2,17.1,10.4,25.3,42.3,22.9,22.3,3.7
206557_at,34.1,11.6,2.8,14.3,16.6,44.6,15.4,27.5,25.6,35.5,37.0,12.6
206558_at,218.7,147.2,129.8,109.9,127.5,78.5,100.0,109.6,102.0,91.6,120.3,119.8
206559_x_at,18541.0,21206.9,20406.6,16765.1,21441.1,17128.4,18035.6,17973.6,17443.7,18365.6,18794.4,19274.8
206560_s_at,10.1,31.8,5.7,6.9,33.6,38.3,7.3,16.9,27.3,45.8,16.6,5.2
206561_s_at,4.8,22.1,49.9,1.6,2.6,42.1,10.0,26.6,25.1,32.1,11.4,3.2
206562_s_at,673.0,639.7,861.5,615.7,521.8,587.2,572.1,647.0,509.1,739.1,570.6,648.4
206563_s_at,6.1,8.3,30.6,3.2,35.0,4.4,31.8,27.0,6.3,52.2,12.2,20.9
206564_at,9.5,9.0,38.4,35.4,13.9,32.2,24.0,14.2,2.2,8.0,43.3,12.0
206565_x_at,94.7,130.0,103.7,83.7,77.3,102.9,96.6,69.3,41.8,136.1,137.6,123.1
206566_at,26.8,17.0,26.4,24.4,15.6,28.3,19.7,17.8,33.2,3.7,1.9,5.2
206567_s_at,617.4,456.0,415.9,444.8,457.8,507.5,678.3,467.5,516.5,431.1,454.7,461.4
206568_at,57.7,21.7,26.1,30.2,30.3,11.3,32.0,21.3,37.9,6.6,3.4,14.6
206569_at,1273.8,1303.1,1169.0,6517.8,7333.2,6068.3,6106.1,6766.4,7185.7,1471.0,1556.4,1480.9
206570_s_at,4.7,5.9,1.8,45.8,6.1,27.1,2.9,23.8,5.2,26.3,3.9,5.3
206571_s_at,321.0,382.4,397.2,423.2,426.5,337.0,282.6,381.7,371.2,403.9,458.7,383.7
206572_x_at,204.2,109.7,126.8,105.4,93.3,96.6,102.6,92.4,122.4,122.5,104.3,130.6
206573_at,55.8,34.2,54.6,30.8,27.2,36.4,18.5,20.2,33.9,10.6,17.2,48.5
206574_s_at,50.2,47.9,57.9,97.3,43.1,68.9,53.3,74.8,62.6,69.2,37.2,25.2
206575_at,2.6,32.0,27.3,3.4,5.5,1.3,5.3,1.5,32.1,2.9,2.9,3.8
206576_s_at,3.8,40.5,30.7,42.0,8.3,23.9,13.3,10.5,43.1,51.7,17.7,20.4
206577_at,27.6,0.9,35.7,14.6,2.8,10.4,3.0,2.9,5.4,3.6,14.2,1.8
206578_at,58.1,50.3,4.0,55.6,8.1,10.6,4.8,8.5,6.2,13.7,6.6,31.7
206579_at,2.8,14.2,28.0,9.8,13.4,22.0,1.6,7.8,21.8,3.7,6.6,24.1
206580_s_at,100.8,85.2,79.8,83.0,47.6,55.4,61.2,69.3,71.5,100.4,92.7,101.7
206581_at,22.5,28.4,2.0,1.5,1.6,3.7,4.0,17.0,4.5,4.5,2.6,2.4
206582_s_at,4.7,27.6,8.7,7.5,11.2,40.5,31.6,4.2,18.9,5.4,5.4,5.5
206583_at,198.3,221.3,206.4,122.0,137.0,114.4,193.4,130.3,124.5,127.1,174.6,202.7
206584_at,16.6,30.8,34.4,8.9,22.3,22.7,28.1,15.8,17.6,25.3,1.5,15.7
206585_at,64.9,21.1,56.7,3.5,40.3,14.0,39.0,18.2,6.2,35.0,28.9,30.2
206586_at,46.1,77.8,48.1,19.1,14.5,15.7,51.9,19.7,70.7,68.8,49.0,60.5
206587_at,198.1,174.4,220.4,123.9,105.5,172.2,144.3,231.7,162.6,163.6,194.4,198.6
206588_at,22.4,5.2,16.3,8.7,3.6,30.9,7.5,21.4,17.3,53.0,10.1,1.1
206589_at,160.2,114.0,129.6,143.3,164.5,180.1,180.8,185.1,144.3,143.3,136.3,196.9
206590_x_at,92.7,46.3,107.2,75.7,83.4,35.0,70.2,64.5,79.3,87.0,44.7,109.7
206591_at,4.0,3.8,2.4,14.0,2.6,2.8,1.9,2.2,2.2,1.2,0.9,1.0
206592_s_at,1221.9,1463.5,1348.0,1450.4,1464.4,1527.7,1443.4,1638.4,1426.0,1292.5,1600.9,1369.1
206593_s_at,81.6,93.4,92.9,139.6,139.9,175.5,131.5,120.0,138.4,94.1,118.3,103.5
206594_at,8.4,66.3,9.2,44.4,29.1,40.2,40.4,8.3,41.1,37.5,44.8,31.8
206595_at,20.5,4.8,49.8,1.9,33.8,28.1,41.7,13.5,19.3,26.0,1.6,12.2
206596_s_at,4.6,2.5,4.0,4.8,1.3,3.0,12.9,2.0,1.3,7.2,1.4,3.6
206597_at,1.4,13.8,2.5,16.9,13.9,3.0,17.0,6.0,1.9,2.6,2.1,2.2
206598_at,1.5,2.8,3.2,1.9,8.2,2.1,10.0,1.8,1.2,6.9,7.8,2.7
206599_at,56.0,38.9,2.6,4.4,6.2,15.9,3.8,42.2,18.8,4.5,28.8,26.4
206600_s_at,53.1,14.8,42.3,23.2,14.0,1.4,4.2,14.4,19.4,27.1,4.9,18.6
206601_s_at,49.7,79.7,74.2,62.8,49.3,62.0,44.8,62.9,24.6,51.9,45.3,50.0
206602_s_at,2.9,2.3,4.1,18.5,7.2,10.2,1.6,21.2,2.9,3.4,1.0,8.9
